,Sample,BIOSAMPLE_ID,Species,Chrom_Type,Genetic_sex,family,Het_Count,Callable_Length,Genus,Het_per_bp
2194,SAMN19736179,SAMN19736179,Macaca_leucogenys_ssp,A,M,Cercopithecidae,27610680,9777215792,Macaca,0.0028239818561222566
2195,SAMN19736180,SAMN19736180,Macaca_leucogenys_ssp,A,M,Cercopithecidae,26237456,9777215792,Macaca,0.0026835304199246826
2196,SAMN19736181,SAMN19736181,Macaca_leucogenys_ssp,A,M,Cercopithecidae,28165948,9777215792,Macaca,0.002880773893018316
2192,SAMN19736178,SAMN19736178,Macaca_leucogenys_ssp,A,F,Cercopithecidae,27610740,9777215792,Macaca,0.002823987992838606
2201,SAMN19736186,SAMN19736186,Macaca_maura_ssp,A,F,Cercopithecidae,28439600,17824095387,Macaca,0.0015955704557518479
2202,SAMN19736186,SAMN19736186,Macaca_maura_ssp,X,F,Cercopithecidae,261800,978768406,Macaca,0.00026747900565151674
1828,SAMN07508144,SAMN07508144,Macaca_maura_ssp,A,M,Cercopithecidae,34550726,17824095387,Macaca,0.0019384280239657808
1830,SAMN07508146,SAMN07508146,Macaca_maura_ssp,A,M,Cercopithecidae,34214327,17824095387,Macaca,0.0019195547519878183
1829,SAMN07508145,SAMN07508145,Macaca_maura_ssp,A,M,Cercopithecidae,35154189,17824095387,Macaca,0.001972284608936715
102,PD_0070,SAMEA112482863,Macaca_maura_ssp,A,M,Cercopithecidae,37701538,17824095387,Macaca,0.0021152006416829214
1827,SAMN07508143,SAMN07508143,Macaca_maura_ssp,X,F,Cercopithecidae,1035559,978768406,Macaca,0.0010580225042531666
1826,SAMN07508143,SAMN07508143,Macaca_maura_ssp,A,F,Cercopithecidae,33027694,17824095387,Macaca,0.0018529800970482205
1825,SAMN07508142,SAMN07508142,Macaca_maura_ssp,X,F,Cercopithecidae,995330,978768406,Macaca,0.0010169208506307262
1824,SAMN07508142,SAMN07508142,Macaca_maura_ssp,A,F,Cercopithecidae,35215621,17824095387,Macaca,0.0019757311793609737
1976,SAMN10499715,SAMN10499715,Macaca_nemestrina_ssp,X,F,Cercopithecidae,5722143,2964128706,Macaca,0.001930463744174542
1968,SAMN10499711,SAMN10499711,Macaca_nemestrina_ssp,A,F,Cercopithecidae,176747823,53874152010,Macaca,0.0032807536899549243
1967,SAMN10499710,SAMN10499710,Macaca_nemestrina_ssp,A,M,Cercopithecidae,172768134,53874152010,Macaca,0.0032068835898879885
1643,SAMN02922336,SAMN02922336,Macaca_nemestrina_ssp,A,F,Cercopithecidae,175385490,53874152010,Macaca,0.0032554663684997835
1642,SAMN02922335,SAMN02922335,Macaca_nemestrina_ssp,X,F,Cercopithecidae,5129397,2964128706,Macaca,0.0017304906462452376
1641,SAMN02922335,SAMN02922335,Macaca_nemestrina_ssp,A,F,Cercopithecidae,165188583,53874152010,Macaca,0.003066193653857198
2170,SAMN18570964,SAMN18570964,Macaca_nemestrina_ssp,A,M,Cercopithecidae,175190568,53874152010,Macaca,0.0032518482697877363
1812,SAMN07503410,SAMN07503410,Macaca_nemestrina_ssp,A,M,Cercopithecidae,171340533,53874152010,Macaca,0.0031803847783663706
1975,SAMN10499715,SAMN10499715,Macaca_nemestrina_ssp,A,F,Cercopithecidae,176678103,53874152010,Macaca,0.0032794595628568854
1649,SAMN02922339,SAMN02922339,Macaca_nemestrina_ssp,A,F,Cercopithecidae,167701443,53874152010,Macaca,0.003112836801011209
1977,SAMN10499716,SAMN10499716,Macaca_nemestrina_ssp,A,F,Cercopithecidae,176846838,53874152010,Macaca,0.0032825915843125307
1969,SAMN10499711,SAMN10499711,Macaca_nemestrina_ssp,X,F,Cercopithecidae,5677413,2964128706,Macaca,0.0019153733063303764
1970,SAMN10499712,SAMN10499712,Macaca_nemestrina_ssp,A,F,Cercopithecidae,176806812,53874152010,Macaca,0.0032818486306231145
1971,SAMN10499712,SAMN10499712,Macaca_nemestrina_ssp,X,F,Cercopithecidae,5731278,2964128706,Macaca,0.001933545594156801
1645,SAMN02922337,SAMN02922337,Macaca_nemestrina_ssp,A,F,Cercopithecidae,156385572,53874152010,Macaca,0.002902794126039739
2200,SAMN19736185,SAMN19736185,Macaca_nemestrina_ssp,A,M,Cercopithecidae,129697155,53874152010,Macaca,0.002407409679059559
1972,SAMN10499713,SAMN10499713,Macaca_nemestrina_ssp,A,M,Cercopithecidae,176254092,53874152010,Macaca,0.003271589165195289
1694,SAMN03121842,SAMN03121842,Macaca_nemestrina_ssp,X,F,Cercopithecidae,84,2964128706,Macaca,2.8338850411578585e-08
1693,SAMN03121842,SAMN03121842,Macaca_nemestrina_ssp,A,F,Cercopithecidae,5964,53874152010,Macaca,1.1070243850692955e-07
1646,SAMN02922337,SAMN02922337,Macaca_nemestrina_ssp,X,F,Cercopithecidae,4874772,2964128706,Macaca,0.0016445885059351401
1647,SAMN02922338,SAMN02922338,Macaca_nemestrina_ssp,A,F,Cercopithecidae,162707349,53874152010,Macaca,0.0030201375414651284
1973,SAMN10499714,SAMN10499714,Macaca_nemestrina_ssp,A,F,Cercopithecidae,174480789,53874152010,Macaca,0.0032386735102134558
1974,SAMN10499714,SAMN10499714,Macaca_nemestrina_ssp,X,F,Cercopithecidae,5729808,2964128706,Macaca,0.0019330496642745985
1652,SAMN02922340,SAMN02922340,Macaca_nemestrina_ssp,X,F,Cercopithecidae,5376945,2964128706,Macaca,0.0018140052384081598
1651,SAMN02922340,SAMN02922340,Macaca_nemestrina_ssp,A,F,Cercopithecidae,167445474,53874152010,Macaca,0.003108085561493741
1650,SAMN02922339,SAMN02922339,Macaca_nemestrina_ssp,X,F,Cercopithecidae,5353215,2964128706,Macaca,0.0018059995131668887
1644,SAMN02922336,SAMN02922336,Macaca_nemestrina_ssp,X,F,Cercopithecidae,5217807,2964128706,Macaca,0.001760317286303424
1978,SAMN10499716,SAMN10499716,Macaca_nemestrina_ssp,X,F,Cercopithecidae,5775399,2964128706,Macaca,0.0019484305753354827
1648,SAMN02922338,SAMN02922338,Macaca_nemestrina_ssp,X,F,Cercopithecidae,5234838,2964128706,Macaca,0.0017660629882243716
1983,SAMN10499719,SAMN10499719,Macaca_nemestrina_ssp,A,F,Cercopithecidae,171341478,53874152010,Macaca,0.003180402319245711
1836,SAMN07508154,SAMN07508154,Macaca_nemestrina_ssp,A,M,Cercopithecidae,168529305,53874152010,Macaca,0.003128203390908463
1835,SAMN07508153,SAMN07508153,Macaca_nemestrina_ssp,A,M,Cercopithecidae,193422558,53874152010,Macaca,0.0035902664038980573
1834,SAMN07508151,SAMN07508151,Macaca_nemestrina_ssp,X,F,Cercopithecidae,5299182,2964128706,Macaca,0.0017877705476396408
1833,SAMN07508151,SAMN07508151,Macaca_nemestrina_ssp,A,F,Cercopithecidae,163698381,53874152010,Macaca,0.0030385328565285755
1832,SAMN07508148,SAMN07508148,Macaca_nemestrina_ssp,X,F,Cercopithecidae,5008605,2964128706,Macaca,0.0016897393793533877
1982,SAMN10499718,SAMN10499718,Macaca_nemestrina_ssp,X,F,Cercopithecidae,5203254,2964128706,Macaca,0.0017554075804696182
1985,SAMN10499720,SAMN10499720,Macaca_nemestrina_ssp,A,F,Cercopithecidae,171678654,53874152010,Macaca,0.00318666090499454
1986,SAMN10499720,SAMN10499720,Macaca_nemestrina_ssp,X,F,Cercopithecidae,5356659,2964128706,Macaca,0.0018071614060337635
1981,SAMN10499718,SAMN10499718,Macaca_nemestrina_ssp,A,F,Cercopithecidae,169900920,53874152010,Macaca,0.0031536630027784638
1831,SAMN07508148,SAMN07508148,Macaca_nemestrina_ssp,A,F,Cercopithecidae,168040194,53874152010,Macaca,0.003119124621558939
1987,SAMN10499721,SAMN10499721,Macaca_nemestrina_ssp,A,M,Cercopithecidae,170721915,53874152010,Macaca,0.0031689021289525074
1980,SAMN10499717,SAMN10499717,Macaca_nemestrina_ssp,X,F,Cercopithecidae,5510589,2964128706,Macaca,0.0018590923494129813
1979,SAMN10499717,SAMN10499717,Macaca_nemestrina_ssp,A,F,Cercopithecidae,172845414,53874152010,Macaca,0.0032083180440207544
1984,SAMN10499719,SAMN10499719,Macaca_nemestrina_ssp,X,F,Cercopithecidae,5296305,2964128706,Macaca,0.0017867999420130443
2205,SAMN19736188,SAMN19736188,Macaca_nigra_ssp,A,F,Cercopithecidae,19178719,17807445775,Macaca,0.001077005610031122
1815,SAMN07503430,SAMN07503430,Macaca_nigra_ssp,X,F,Cercopithecidae,707021,976716895,Macaca,0.0007238750590057111
1814,SAMN07503430,SAMN07503430,Macaca_nigra_ssp,A,F,Cercopithecidae,26048442,17807445775,Macaca,0.0014627837326658937
1837,SAMN07508155,SAMN07508155,Macaca_nigra_ssp,A,F,Cercopithecidae,27241522,17807445775,Macaca,0.0015297826731694765
1838,SAMN07508155,SAMN07508155,Macaca_nigra_ssp,X,F,Cercopithecidae,790279,976716895,Macaca,0.0008091177740915396
1839,SAMN07508156,SAMN07508156,Macaca_nigra_ssp,A,M,Cercopithecidae,26877032,17807445775,Macaca,0.0015093142688511149
2206,SAMN19736188,SAMN19736188,Macaca_nigra_ssp,X,F,Cercopithecidae,578928,976716895,Macaca,0.0005927285613299441
2171,SAMN18570966,SAMN18570966,Macaca_nigrescens_ssp,A,M,Cercopithecidae,7947742,5071280784,Macaca,0.0015672060646050791
1840,SAMN07508157,SAMN07508157,Macaca_nigrescens_ssp,A,M,Cercopithecidae,6493306,5071280784,Macaca,0.0012804075097727816
669,PD_0561,SAMEA112483090,Macaca_radiata_ssp,X,F,Cercopithecidae,610207,1794986245,Macaca,0.00033995079444188163
668,PD_0561,SAMEA112483090,Macaca_radiata_ssp,A,F,Cercopithecidae,38108083,32800016392,Macaca,0.0011618312181482522
666,PD_0559,SAMEA112483088,Macaca_radiata_ssp,X,F,Cercopithecidae,965679,1794986245,Macaca,0.000537986852372788
671,PD_0563,SAMEA112483092,Macaca_radiata_ssp,A,M,Cercopithecidae,38992421,32800016392,Macaca,0.0011887927290643167
665,PD_0559,SAMEA112483088,Macaca_radiata_ssp,A,F,Cercopithecidae,45449235,32800016392,Macaca,0.00138564671605119
656,PD_0552,SAMEA112483081,Macaca_radiata_ssp,X,F,Cercopithecidae,908843,1794986245,Macaca,0.0005063230999856492
670,PD_0562,SAMEA112483091,Macaca_radiata_ssp,A,M,Cercopithecidae,34810152,32800016392,Macaca,0.0010612845915677737
657,PD_0553,SAMEA112483082,Macaca_radiata_ssp,A,M,Cercopithecidae,41745262,32800016392,Macaca,0.001272720766389061
658,PD_0554,SAMEA112483083,Macaca_radiata_ssp,A,M,Cercopithecidae,38703717,32800016392,Macaca,0.001179990782243631
659,PD_0555,SAMEA112483084,Macaca_radiata_ssp,A,M,Cercopithecidae,44762900,32800016392,Macaca,0.0013647218789475293
672,PD_0564,SAMEA112483093,Macaca_radiata_ssp,A,M,Cercopithecidae,38679225,32800016392,Macaca,0.0011792440752997292
655,PD_0552,SAMEA112483081,Macaca_radiata_ssp,A,F,Cercopithecidae,43245982,32800016392,Macaca,0.0013184744020599878
660,PD_0556,SAMEA112483085,Macaca_radiata_ssp,A,F,Cercopithecidae,44936606,32800016392,Macaca,0.0013700177909350113
667,PD_0560,SAMEA112483089,Macaca_radiata_ssp,A,M,Cercopithecidae,39812292,32800016392,Macaca,0.0012137887836455566
661,PD_0556,SAMEA112483085,Macaca_radiata_ssp,X,F,Cercopithecidae,960388,1794986245,Macaca,0.0005350391974730703
662,PD_0557,SAMEA112483086,Macaca_radiata_ssp,A,F,Cercopithecidae,40532453,32800016392,Macaca,0.0012357449007216338
663,PD_0557,SAMEA112483086,Macaca_radiata_ssp,X,F,Cercopithecidae,619463,1794986245,Macaca,0.00034510737991755476
664,PD_0558,SAMEA112483087,Macaca_radiata_ssp,A,M,Cercopithecidae,33724756,32800016392,Macaca,0.0010281932666419504
66,PD_0044,SAMEA112482837,Macaca_siberu_ssp,A,M,Cercopithecidae,2872638,2529203364,Macaca,0.0011357876716788994
675,PD_0567,SAMEA112483096,Macaca_silenus_ssp,A,M,Cercopithecidae,23896560,43597455638,Macaca,0.0005481182250271392
2141,SAMN15061838,SAMN15061838,Macaca_silenus_ssp,X,F,Cercopithecidae,650063,2405823374,Macaca,0.0002702039588713382
2140,SAMN15061838,SAMN15061838,Macaca_silenus_ssp,A,F,Cercopithecidae,24490234,43597455638,Macaca,0.0005617353958301653
676,PD_0568,SAMEA112483097,Macaca_silenus_ssp,A,M,Cercopithecidae,23598788,43597455638,Macaca,0.000541288193419963
674,PD_0566,SAMEA112483095,Macaca_silenus_ssp,A,M,Cercopithecidae,21028983,43597455638,Macaca,0.0004823442719824897
673,PD_0565,SAMEA112483094,Macaca_silenus_ssp,A,M,Cercopithecidae,23685063,43597455638,Macaca,0.0005432670933061481
690,PD_0576,SAMEA112483105,Macaca_silenus_ssp,A,M,Cercopithecidae,12956907,43597455638,Macaca,0.0002971941093898751
2199,SAMN19736184,SAMN19736184,Macaca_silenus_ssp,A,M,Cercopithecidae,20643066,43597455638,Macaca,0.0004734924480778022
680,PD_0570,SAMEA112483099,Macaca_silenus_ssp,X,F,Cercopithecidae,621282,2405823374,Macaca,0.0002582409027671206
679,PD_0570,SAMEA112483099,Macaca_silenus_ssp,A,F,Cercopithecidae,24502049,43597455638,Macaca,0.0005620063978835443
678,PD_0569,SAMEA112483098,Macaca_silenus_ssp,X,F,Cercopithecidae,795940,2405823374,Macaca,0.00033083891718810776
683,PD_0572,SAMEA112483101,Macaca_silenus_ssp,A,F,Cercopithecidae,28004185,43597455638,Macaca,0.000642335305815215
677,PD_0569,SAMEA112483098,Macaca_silenus_ssp,A,F,Cercopithecidae,30017614,43597455638,Macaca,0.0006885175650901135
684,PD_0572,SAMEA112483101,Macaca_silenus_ssp,X,F,Cercopithecidae,1275170,2405823374,Macaca,0.0005300347539145656
689,PD_0575,SAMEA112483104,Macaca_silenus_ssp,X,F,Cercopithecidae,293556,2405823374,Macaca,0.00012201893255028288
681,PD_0571,SAMEA112483100,Macaca_silenus_ssp,A,F,Cercopithecidae,24359249,43597455638,Macaca,0.0005587309773822724
685,PD_0573,SAMEA112483102,Macaca_silenus_ssp,A,F,Cercopithecidae,28366064,43597455638,Macaca,0.000650635767268855
687,PD_0574,SAMEA112483103,Macaca_silenus_ssp,A,M,Cercopithecidae,22132045,43597455638,Macaca,0.0005076453356307674
688,PD_0575,SAMEA112483104,Macaca_silenus_ssp,A,F,Cercopithecidae,16330166,43597455638,Macaca,0.00037456695031914787
2362,SAMN23530512,SAMN23530512,Macaca_silenus_ssp,A,M,Cercopithecidae,24421248,43597455638,Macaca,0.0005601530557832413
2379,SAMN24909951,SAMN24909951,Macaca_silenus_ssp,A,F,Cercopithecidae,27262747,43597455638,Macaca,0.0006253288546553966
2380,SAMN24909951,SAMN24909951,Macaca_silenus_ssp,X,F,Cercopithecidae,846702,2405823374,Macaca,0.0003519385542390195
692,PD_0577,SAMEA112483106,Macaca_silenus_ssp,X,F,Cercopithecidae,207162,2405823374,Macaca,8.610856567394876e-05
691,PD_0577,SAMEA112483106,Macaca_silenus_ssp,A,F,Cercopithecidae,15990812,43597455638,Macaca,0.00036678314745648233
686,PD_0573,SAMEA112483102,Macaca_silenus_ssp,X,F,Cercopithecidae,670990,2405823374,Macaca,0.00027890243616861623
682,PD_0571,SAMEA112483100,Macaca_silenus_ssp,X,F,Cercopithecidae,592688,2405823374,Macaca,0.0002463555747297349
2197,SAMN19736182,SAMN19736182,Macaca_sinica_ssp,A,F,Cercopithecidae,3828882,2465685063,Macaca,0.001552867419061783
2198,SAMN19736182,SAMN19736182,Macaca_sinica_ssp,X,F,Cercopithecidae,90424,136101142,Macaca,0.0006643882532594767
2208,SAMN19736189,SAMN19736189,Macaca_sylvanus_ssp,X,F,Cercopithecidae,56708,276967892,Macaca,0.00020474575442845918
2207,SAMN19736189,SAMN19736189,Macaca_sylvanus_ssp,A,F,Cercopithecidae,1699206,4918873002,Macaca,0.00034544620267876555
2134,SAMN15061835,SAMN15061835,Macaca_sylvanus_ssp,A,F,Cercopithecidae,1934090,4918873002,Macaca,0.0003931977912854437
2135,SAMN15061835,SAMN15061835,Macaca_sylvanus_ssp,X,F,Cercopithecidae,60060,276967892,Macaca,0.0002168482403007205
2145,SAMN15194903,SAMN15194903,Macaca_thibetana_ssp,A,F,Cercopithecidae,2898681,7651967856,Macaca,0.0003788151041077766
2146,SAMN15194903,SAMN15194903,Macaca_thibetana_ssp,X,F,Cercopithecidae,35409,423568785,Macaca,8.359681179055722e-05
2147,SAMN15194904,SAMN15194904,Macaca_thibetana_ssp,A,F,Cercopithecidae,6303714,7651967856,Macaca,0.0008238029901102083
2148,SAMN15194904,SAMN15194904,Macaca_thibetana_ssp,X,F,Cercopithecidae,119313,423568785,Macaca,0.0002816850632654623
1562,SAMN02390221,SAMN02390221,Macaca_thibetana_ssp,A,F,Cercopithecidae,7078620,7651967856,Macaca,0.0009250718420686476
1563,SAMN02390221,SAMN02390221,Macaca_thibetana_ssp,X,F,Cercopithecidae,121365,423568785,Macaca,0.0002865296128939247
2179,SAMN18571130,SAMN18571130,Macaca_tonkeana_ssp,X,F,Cercopithecidae,1082992,1122403512,Macaca,0.0009648865033130795
2180,SAMN18571131,SAMN18571131,Macaca_tonkeana_ssp,A,F,Cercopithecidae,45446880,20417475672,Macaca,0.002225881432655491
2181,SAMN18571131,SAMN18571131,Macaca_tonkeana_ssp,X,F,Cercopithecidae,1391720,1122403512,Macaca,0.0012399462271105225
2176,SAMN18571119,SAMN18571119,Macaca_tonkeana_ssp,A,F,Cercopithecidae,45482512,20417475672,Macaca,0.002227626604319825
2177,SAMN18571119,SAMN18571119,Macaca_tonkeana_ssp,X,F,Cercopithecidae,1682736,1122403512,Macaca,0.0014992255298645217
2183,SAMN18571132,SAMN18571132,Macaca_tonkeana_ssp,X,F,Cercopithecidae,1251832,1122403512,Macaca,0.0011153136876499723
2184,SAMN18571133,SAMN18571133,Macaca_tonkeana_ssp,A,F,Cercopithecidae,45087960,20417475672,Macaca,0.002208302374119268
2185,SAMN18571133,SAMN18571133,Macaca_tonkeana_ssp,X,F,Cercopithecidae,1453904,1122403512,Macaca,0.0012953487622373013
2204,SAMN19736187,SAMN19736187,Macaca_tonkeana_ssp,X,F,Cercopithecidae,2223520,1122403512,Macaca,0.001981034428552287
2203,SAMN19736187,SAMN19736187,Macaca_tonkeana_ssp,A,F,Cercopithecidae,57037368,20417475672,Macaca,0.002793556310108383
2182,SAMN18571132,SAMN18571132,Macaca_tonkeana_ssp,A,F,Cercopithecidae,44258880,20417475672,Macaca,0.0021676959831374008
2178,SAMN18571130,SAMN18571130,Macaca_tonkeana_ssp,A,F,Cercopithecidae,42025088,20417475672,Macaca,0.0020582900979102
1813,SAMN07503429,SAMN07503429,Macaca_tonkeana_ssp,A,M,Cercopithecidae,46689488,20417475672,Macaca,0.00228674145374537
1841,SAMN07508162,SAMN07508162,Macaca_tonkeana_ssp,A,F,Cercopithecidae,41605112,20417475672,Macaca,0.002037720659907835
1842,SAMN07508162,SAMN07508162,Macaca_tonkeana_ssp,X,F,Cercopithecidae,1192840,1122403512,Macaca,0.0010627550495405078
2319,SAMN21971422,SAMN21971422,Mandrillus_leucophaeus_ssp,A,M,Cercopithecidae,39897977,16722195028,Mandrillus,0.002385929414959817
2320,SAMN21971423,SAMN21971423,Mandrillus_leucophaeus_ssp,A,F,Cercopithecidae,40386339,16722195028,Mandrillus,0.002415133834546018
2321,SAMN21971423,SAMN21971423,Mandrillus_leucophaeus_ssp,X,F,Cercopithecidae,689969,906913938,Mandrillus,0.0007607877341940244
2322,SAMN21971424,SAMN21971424,Mandrillus_leucophaeus_ssp,A,F,Cercopithecidae,40304369,16722195028,Mandrillus,0.0024102319661093237
2323,SAMN21971424,SAMN21971424,Mandrillus_leucophaeus_ssp,X,F,Cercopithecidae,684502,906913938,Mandrillus,0.0007547595988099149
2324,SAMN21971425,SAMN21971425,Mandrillus_leucophaeus_ssp,A,F,Cercopithecidae,37886366,16722195028,Mandrillus,0.002265633544912152
2326,SAMN21971426,SAMN21971426,Mandrillus_leucophaeus_ssp,A,M,Cercopithecidae,36890763,16722195028,Mandrillus,0.0022060957271595816
2372,SAMN23614715,SAMN23614715,Mandrillus_leucophaeus_ssp,A,M,Cercopithecidae,39264085,16722195028,Mandrillus,0.0023480221905231567
1690,SAMN03121813,SAMN03121813,Mandrillus_leucophaeus_ssp,X,F,Cercopithecidae,626717,906913938,Mandrillus,0.0006910435199420212
1689,SAMN03121813,SAMN03121813,Mandrillus_leucophaeus_ssp,A,F,Cercopithecidae,38671500,16722195028,Mandrillus,0.0023125851561501118
2325,SAMN21971425,SAMN21971425,Mandrillus_leucophaeus_ssp,X,F,Cercopithecidae,693588,906913938,Mandrillus,0.0007647781900116745
1866,SAMN08634632,SAMN08634632,Mandrillus_sphinx_ssp,A,M,Cercopithecidae,32609010,7302839376,Mandrillus,0.004465250886821641
87,PD_0057,SAMEA112482850,Mandrillus_sphinx_ssp,A,M,Cercopithecidae,32334237,7302839376,Mandrillus,0.004427625384485795
171,PD_0124,SAMEA112482899,Miopithecus_ogouensis_ssp,A,F,Cercopithecidae,3077648,2396819862,Miopithecus,0.0012840547797496515
172,PD_0124,SAMEA112482899,Miopithecus_ogouensis_ssp,X,F,Cercopithecidae,94970,130243836,Miopithecus,0.0007291707839440478
2390,SAMN29758772,SAMN29758772,Miopithecus_talapoin_ssp,A,M,Cercopithecidae,2788601,2407585891,Miopithecus,0.001158256081506502
2383,SAMN25329631,SAMN25329631,Nasalis_larvatus_ssp,A,M,Cercopithecidae,9654969,7860708159,Nasalis,0.0012282568955248247
101,PD_0069,SAMEA112482862,Nasalis_larvatus_ssp,A,M,Cercopithecidae,8541099,7860708159,Nasalis,0.0010865559218377796
1854,SAMN07678099,SAMN07678099,Nasalis_larvatus_ssp,A,F,Cercopithecidae,7932981,7860708159,Nasalis,0.0010091941895740337
1855,SAMN07678099,SAMN07678099,Nasalis_larvatus_ssp,X,F,Cercopithecidae,199185,446364429,Nasalis,0.00044623851512146367
813,PD_0735,SAMEA112483202,Papio_anubis_ssp,A,M,Cercopithecidae,455573044,263754122065,Papio,0.0017272641672221062
1098,SAMEA115083523,SAMEA115083523,Papio_anubis_ssp,A,M,Cercopithecidae,437351265,263754122065,Papio,0.0016581779332048446
1099,SAMEA115083524,SAMEA115083524,Papio_anubis_ssp,A,F,Cercopithecidae,426128249,263754122065,Papio,0.0016156268787904829
1100,SAMEA115083524,SAMEA115083524,Papio_anubis_ssp,X,F,Cercopithecidae,8624093,14098680376,Papio,0.0006116950501750988
1097,SAMEA115083522,SAMEA115083522,Papio_anubis_ssp,X,F,Cercopithecidae,9394065,14098680376,Papio,0.0006663081046926488
811,PD_0733,SAMEA112483200,Papio_anubis_ssp,A,M,Cercopithecidae,437466825,263754122065,Papio,0.0016586160685374614
810,PD_0732,SAMEA112483199,Papio_anubis_ssp,A,M,Cercopithecidae,447541838,263754122065,Papio,0.001696814572966966
809,PD_0731,SAMEA112483198,Papio_anubis_ssp,A,M,Cercopithecidae,458659031,263754122065,Papio,0.0017389644090072924
297,PD_0209,SAMEA112482962,Papio_anubis_ssp,A,F,Cercopithecidae,403056053,263754122065,Papio,0.0015281507255483582
298,PD_0209,SAMEA112482962,Papio_anubis_ssp,X,F,Cercopithecidae,9473887,14098680376,Papio,0.000671969769321622
299,PD_0210,SAMEA112482963,Papio_anubis_ssp,A,F,Cercopithecidae,441510676,263754122065,Papio,0.0016739479654130046
301,PD_0211,SAMEA112482964,Papio_anubis_ssp,A,F,Cercopithecidae,447305047,263754122065,Papio,0.001695916801215965
300,PD_0210,SAMEA112482963,Papio_anubis_ssp,X,F,Cercopithecidae,8833706,14098680376,Papio,0.0006265626118482339
1102,SAMEA115083526,SAMEA115083526,Papio_anubis_ssp,A,F,Cercopithecidae,563742554,263754122065,Papio,0.0021373791225946046
812,PD_0734,SAMEA112483201,Papio_anubis_ssp,A,M,Cercopithecidae,448918928,263754122065,Papio,0.0017020356856806496
1103,SAMEA115083526,SAMEA115083526,Papio_anubis_ssp,X,F,Cercopithecidae,14804520,14098680376,Papio,0.001050064233330769
1082,SAMEA115083513,SAMEA115083513,Papio_anubis_ssp,A,M,Cercopithecidae,465200262,263754122065,Papio,0.0017637648972377209
1105,SAMEA115083528,SAMEA115083528,Papio_anubis_ssp,A,F,Cercopithecidae,422483401,263754122065,Papio,0.0016018077658550584
289,PD_0204,SAMEA112482957,Papio_anubis_ssp,A,M,Cercopithecidae,464478975,263754122065,Papio,0.0017610302025366377
288,PD_0203,SAMEA112482956,Papio_anubis_ssp,X,F,Cercopithecidae,10949631,14098680376,Papio,0.0007766422606926684
1113,SAMEA115083532,SAMEA115083532,Papio_anubis_ssp,X,F,Cercopithecidae,8917915,14098680376,Papio,0.0006325354403509176
1112,SAMEA115083532,SAMEA115083532,Papio_anubis_ssp,A,F,Cercopithecidae,435240262,263754122065,Papio,0.001650174255448181
814,PD_0736,SAMEA112483203,Papio_anubis_ssp,A,F,Cercopithecidae,453898922,263754122065,Papio,0.0017209168844312523
1111,SAMEA115083531,SAMEA115083531,Papio_anubis_ssp,X,F,Cercopithecidae,9361965,14098680376,Papio,0.0006640312958606218
1110,SAMEA115083531,SAMEA115083531,Papio_anubis_ssp,A,F,Cercopithecidae,438260444,263754122065,Papio,0.0016616250035022936
1109,SAMEA115083530,SAMEA115083530,Papio_anubis_ssp,X,F,Cercopithecidae,6796426,14098680376,Papio,0.00048206114464226506
1108,SAMEA115083530,SAMEA115083530,Papio_anubis_ssp,A,F,Cercopithecidae,437321626,263754122065,Papio,0.0016580655596056457
1603,SAMN02866410,SAMN02866410,Papio_anubis_ssp,A,M,Cercopithecidae,457451964,263754122065,Papio,0.0017343879231857646
1604,SAMN02866411,SAMN02866411,Papio_anubis_ssp,A,F,Cercopithecidae,446691081,263754122065,Papio,0.0016935890044210066
1605,SAMN02866411,SAMN02866411,Papio_anubis_ssp,X,F,Cercopithecidae,10491457,14098680376,Papio,0.0007441446092968723
287,PD_0203,SAMEA112482956,Papio_anubis_ssp,A,F,Cercopithecidae,470971414,263754122065,Papio,0.0017856457002932945
286,PD_0202,SAMEA112482955,Papio_anubis_ssp,A,M,Cercopithecidae,474510760,263754122065,Papio,0.0017990648118972744
285,PD_0201,SAMEA112482954,Papio_anubis_ssp,A,M,Cercopithecidae,482232629,263754122065,Papio,0.0018283415827759378
284,PD_0200,SAMEA112482953,Papio_anubis_ssp,X,F,Cercopithecidae,8223057,14098680376,Papio,0.0005832501185003104
283,PD_0200,SAMEA112482953,Papio_anubis_ssp,A,F,Cercopithecidae,471537979,263754122065,Papio,0.0017877937804657074
282,PD_0199,SAMEA112482952,Papio_anubis_ssp,X,F,Cercopithecidae,9397703,14098680376,Papio,0.000666566143026945
281,PD_0199,SAMEA112482952,Papio_anubis_ssp,A,F,Cercopithecidae,458665344,263754122065,Papio,0.001738988344178241
1107,SAMEA115083529,SAMEA115083529,Papio_anubis_ssp,A,M,Cercopithecidae,426819148,263754122065,Papio,0.0016182463601263225
1106,SAMEA115083528,SAMEA115083528,Papio_anubis_ssp,X,F,Cercopithecidae,8046293,14098680376,Papio,0.000570712491198616
1104,SAMEA115083527,SAMEA115083527,Papio_anubis_ssp,A,M,Cercopithecidae,554509203,263754122065,Papio,0.002102371703837659
1096,SAMEA115083522,SAMEA115083522,Papio_anubis_ssp,A,F,Cercopithecidae,422220502,263754122065,Papio,0.0016008110079733552
1076,SAMEA115083508,SAMEA115083508,Papio_anubis_ssp,A,M,Cercopithecidae,476215377,263754122065,Papio,0.0018055277137342357
1094,SAMEA115083521,SAMEA115083521,Papio_anubis_ssp,A,F,Cercopithecidae,436473437,263754122065,Papio,0.001654849727400411
